Distance_mm;Amplitude
-670.00;-0.001676
-666.21;-0.001573
-662.42;-0.001459
-658.63;-0.001340
-654.85;-0.001225
-651.06;-0.001122
-647.27;-0.001039
-643.48;-0.000984
-639.69;-0.000960
-635.90;-0.000966
-632.11;-0.000995
-628.32;-0.001040
-624.54;-0.001090
-620.75;-0.001138
-616.96;-0.001175
-613.17;-0.001198
-609.38;-0.001203
-605.59;-0.001188
-601.80;-0.001153
-598.02;-0.001098
-594.23;-0.001026
-590.44;-0.000940
-586.65;-0.000843
-582.86;-0.000740
-579.07;-0.000636
-575.28;-0.000535
-571.50;-0.000441
-567.71;-0.000359
-563.92;-0.000290
-560.13;-0.000237
-556.34;-0.000199
-552.55;-0.000176
-548.76;-0.000170
-544.97;-0.000182
-541.19;-0.000210
-537.40;-0.000251
-533.61;-0.000302
-529.82;-0.000358
-526.03;-0.000416
-522.24;-0.000472
-518.45;-0.000525
-514.67;-0.000572
-510.88;-0.000611
-507.09;-0.000642
-503.30;-0.000663
-499.51;-0.000675
-495.72;-0.000675
-491.93;-0.000665
-488.15;-0.000644
-484.36;-0.000613
-480.57;-0.000571
-476.78;-0.000519
-472.99;-0.000459
-469.20;-0.000394
-465.41;-0.000329
-461.62;-0.000272
-457.84;-0.000235
-454.05;-0.000232
-450.26;-0.000262
-446.47;-0.000310
-442.68;-0.000362
-438.89;-0.000408
-435.10;-0.000442
-431.32;-0.000461
-427.53;-0.000463
-423.74;-0.000447
-419.95;-0.000413
-416.16;-0.000363
-412.37;-0.000300
-408.58;-0.000229
-404.79;-0.000158
-401.01;-0.000110
-397.22;-0.000124
-393.43;-0.000184
-389.64;-0.000252
-385.85;-0.000315
-382.06;-0.000368
-378.27;-0.000408
-374.49;-0.000433
-370.70;-0.000444
-366.91;-0.000440
-363.12;-0.000424
-359.33;-0.000396
-355.54;-0.000360
-351.75;-0.000318
-347.97;-0.000272
-344.18;-0.000227
-340.39;-0.000184
-336.60;-0.000148
-332.81;-0.000121
-329.02;-0.000106
-325.23;-0.000100
-321.44;-0.000098
-317.66;-0.000096
-313.87;-0.000090
-310.08;-0.000079
-306.29;-0.000065
-302.50;-0.000054
-298.71;-0.000057
-294.92;-0.000080
-291.14;-0.000112
-287.35;-0.000149
-283.56;-0.000187
-279.77;-0.000222
-275.98;-0.000254
-272.19;-0.000280
-268.40;-0.000299
-264.62;-0.000311
-260.83;-0.000316
-257.04;-0.000314
-253.25;-0.000306
-249.46;-0.000294
-245.67;-0.000279
-241.88;-0.000265
-238.09;-0.000253
-234.31;-0.000244
-230.52;-0.000241
