Distance_mm;Amplitude
-670.00;-0.003404
-666.21;-0.003280
-662.42;-0.003170
-658.63;-0.003084
-654.85;-0.003028
-651.06;-0.003006
-647.27;-0.003015
-643.48;-0.003050
-639.69;-0.003100
-635.90;-0.003153
-632.11;-0.003197
-628.32;-0.003220
-624.54;-0.003213
-620.75;-0.003169
-616.96;-0.003085
-613.17;-0.002959
-609.38;-0.002793
-605.59;-0.002593
-601.80;-0.002366
-598.02;-0.002123
-594.23;-0.001874
-590.44;-0.001635
-586.65;-0.001420
-582.86;-0.001244
-579.07;-0.001118
-575.28;-0.001047
-571.50;-0.001020
-567.71;-0.001020
-563.92;-0.001027
-560.13;-0.001025
-556.34;-0.001004
-552.55;-0.000961
-548.76;-0.000893
-544.97;-0.000802
-541.19;-0.000693
-537.40;-0.000570
-533.61;-0.000439
-529.82;-0.000307
-526.03;-0.000178
-522.24;-0.000060
-518.45;-0.000045
-514.67;-0.000131
-510.88;-0.000200
-507.09;-0.000251
-503.30;-0.000290
-499.51;-0.000322
-495.72;-0.000358
-491.93;-0.000404
-488.15;-0.000464
-484.36;-0.000536
-480.57;-0.000613
-476.78;-0.000689
-472.99;-0.000756
-469.20;-0.000807
-465.41;-0.000839
-461.62;-0.000846
-457.84;-0.000828
-454.05;-0.000784
-450.26;-0.000715
-446.47;-0.000625
-442.68;-0.000517
-438.89;-0.000397
-435.10;-0.000270
-431.32;-0.000145
-427.53;-0.000062
-423.74;-0.000136
-419.95;-0.000241
-416.16;-0.000338
-412.37;-0.000421
-408.58;-0.000489
-404.79;-0.000542
-401.01;-0.000581
-397.22;-0.000608
-393.43;-0.000625
-389.64;-0.000633
-385.85;-0.000634
-382.06;-0.000631
-378.27;-0.000624
-374.49;-0.000614
-370.70;-0.000602
-366.91;-0.000586
-363.12;-0.000567
-359.33;-0.000546
-355.54;-0.000522
-351.75;-0.000498
-347.97;-0.000475
-344.18;-0.000456
-340.39;-0.000443
-336.60;-0.000437
-332.81;-0.000440
-329.02;-0.000449
-325.23;-0.000462
-321.44;-0.000475
-317.66;-0.000485
-313.87;-0.000490
-310.08;-0.000487
-306.29;-0.000477
-302.50;-0.000461
-298.71;-0.000439
-294.92;-0.000414
-291.14;-0.000391
-287.35;-0.000373
-283.56;-0.000362
-279.77;-0.000361
-275.98;-0.000368
-272.19;-0.000380
-268.40;-0.000393
-264.62;-0.000403
-260.83;-0.000408
-257.04;-0.000406
-253.25;-0.000396
-249.46;-0.000379
-245.67;-0.000355
-241.88;-0.000326
-238.09;-0.000295
-234.31;-0.000263
-230.52;-0.000231
-226.73;-0.000201
-222.94;-0.000172
-219.15;-0.000144
-215.36;-0.000119
-211.57;-0.000096
-207.79;-0.000082
-204.00;-0.000085
-200.21;-0.000106
-196.42;-0.000137
-192.63;-0.000171
-188.84;-0.000204
-185.05;-0.000234
-181.26;-0.000258
-177.48;-0.000275
-173.69;-0.000285
-169.90;-0.000289
-166.11;-0.000289
-162.32;-0.000285
-158.53;-0.000279
-154.74;-0.000274
-150.96;-0.000269
-147.17;-0.000264
-143.38;-0.000258
-139.59;-0.000249
-135.80;-0.000236
-132.01;-0.000219
-128.22;-0.000197
-124.44;-0.000170
-120.65;-0.000140
-116.86;-0.000109
-113.07;-0.000078
-109.28;-0.000050
-105.49;-0.000029
-101.70;-0.000024
-97.91;-0.000034
-94.13;-0.000043
-90.34;-0.000049
-86.55;-0.000049
-82.76;-0.000045
-78.97;-0.000038
-75.18;-0.000028
-71.39;-0.000016
-67.61;-0.000003
-63.82;0.000012
-60.03;0.000031
-56.24;0.000058
-52.45;0.000095
-48.66;0.000142
-44.87;0.000200
-41.09;0.000267
-37.30;0.000342
-33.51;0.000419
-29.72;0.000494
-25.93;0.000561
-22.14;0.000616
-18.35;0.000654
-14.56;0.000671
-10.78;0.000666
-6.99;0.000641
-3.20;0.000600
0.59;0.000555
4.38;0.000523
8.17;0.000534
11.96;0.000616
15.74;0.000782
19.53;0.001034
23.32;0.001371
27.11;0.001795
30.90;0.002308
34.69;0.002905
38.48;0.003582
42.27;0.004322
46.05;0.005108
49.84;0.005915
53.63;0.006715
57.42;0.007477
61.21;0.008172
65.00;0.008769
68.79;0.009244
72.57;0.009575
76.36;0.009748
80.15;0.009755
83.94;0.009596
87.73;0.009278
91.52;0.008814
95.31;0.008223
99.09;0.007527
102.88;0.006751
106.67;0.005922
110.46;0.005065
114.25;0.004205
118.04;0.003367
121.83;0.002583
125.62;0.001900
129.40;0.001419
133.19;0.001303
136.98;0.001565
140.77;0.002012
144.56;0.002504
148.35;0.002979
152.14;0.003411
155.92;0.003785
159.71;0.004093
163.50;0.004329
167.29;0.004491
171.08;0.004578
174.87;0.004595
178.66;0.004545
182.44;0.004436
186.23;0.004278
190.02;0.004081
193.81;0.003856
197.60;0.003617
201.39;0.003375
205.18;0.003141
208.97;0.002925
212.75;0.002733
216.54;0.002569
220.33;0.002430
224.12;0.002310
227.91;0.002204
231.70;0.002101
235.49;0.001995
239.27;0.001880
243.06;0.001754
246.85;0.001617
250.64;0.001469
254.43;0.001315
258.22;0.001159
262.01;0.001004
265.80;0.000853
269.58;0.000710
273.37;0.000579
277.16;0.000465
280.95;0.000384
284.74;0.000358
288.53;0.000398
292.32;0.000488
296.10;0.000602
299.89;0.000721
303.68;0.000836
307.47;0.000937
311.26;0.001020
315.05;0.001080
318.84;0.001117
322.62;0.001128
326.41;0.001115
330.20;0.001082
333.99;0.001034
337.78;0.000978
341.57;0.000923
345.36;0.000881
349.15;0.000863
352.93;0.000878
356.72;0.000929
360.51;0.001010
364.30;0.001114
368.09;0.001233
371.88;0.001358
375.67;0.001485
379.45;0.001608
383.24;0.001726
387.03;0.001835
390.82;0.001936
394.61;0.002027
398.40;0.002110
402.19;0.002183
405.97;0.002249
409.76;0.002306
413.55;0.002356
417.34;0.002397
421.13;0.002428
424.92;0.002450
428.71;0.002459
432.50;0.002454
436.28;0.002433
440.07;0.002396
443.86;0.002340
447.65;0.002265
451.44;0.002173
455.23;0.002065
459.02;0.001944
462.80;0.001813
466.59;0.001676
470.38;0.001536
474.17;0.001398
477.96;0.001265
481.75;0.001139
485.54;0.001020
489.33;0.000909
493.11;0.000806
496.90;0.000710
500.69;0.000622
504.48;0.000545
508.27;0.000482
512.06;0.000441
