Distance_mm;Amplitude
-670.00;-0.001104
-666.21;-0.001106
-662.42;-0.001186
-658.63;-0.001314
-654.85;-0.001459
-651.06;-0.001597
-647.27;-0.001711
-643.48;-0.001790
-639.69;-0.001828
-635.90;-0.001823
-632.11;-0.001774
-628.32;-0.001684
-624.54;-0.001556
-620.75;-0.001397
-616.96;-0.001211
-613.17;-0.001007
-609.38;-0.000792
-605.59;-0.000574
-601.80;-0.000365
-598.02;-0.000198
-594.23;-0.000192
-590.44;-0.000330
-586.65;-0.000482
-582.86;-0.000620
-579.07;-0.000738
-575.28;-0.000831
-571.50;-0.000900
-567.71;-0.000944
-563.92;-0.000965
-560.13;-0.000964
-556.34;-0.000942
-552.55;-0.000902
-548.76;-0.000846
-544.97;-0.000778
-541.19;-0.000701
-537.40;-0.000621
-533.61;-0.000542
-529.82;-0.000470
-526.03;-0.000409
-522.24;-0.000360
-518.45;-0.000321
-514.67;-0.000284
-510.88;-0.000240
-507.09;-0.000183
-503.30;-0.000109
-499.51;-0.000042
-495.72;-0.000128
-491.93;-0.000263
-488.15;-0.000414
-484.36;-0.000572
-480.57;-0.000731
-476.78;-0.000883
-472.99;-0.001020
-469.20;-0.001135
-465.41;-0.001224
-461.62;-0.001282
-457.84;-0.001308
-454.05;-0.001300
-450.26;-0.001261
-446.47;-0.001195
-442.68;-0.001105
-438.89;-0.000998
-435.10;-0.000881
-431.32;-0.000760
-427.53;-0.000644
-423.74;-0.000539
-419.95;-0.000454
-416.16;-0.000395
-412.37;-0.000364
-408.58;-0.000357
-404.79;-0.000366
-401.01;-0.000381
-397.22;-0.000397
-393.43;-0.000409
-389.64;-0.000417
-385.85;-0.000419
-382.06;-0.000416
-378.27;-0.000409
-374.49;-0.000398
-370.70;-0.000384
-366.91;-0.000367
-363.12;-0.000347
-359.33;-0.000326
-355.54;-0.000301
-351.75;-0.000274
-347.97;-0.000244
-344.18;-0.000211
-340.39;-0.000175
-336.60;-0.000137
-332.81;-0.000097
-329.02;-0.000058
-325.23;-0.000025
-321.44;-0.000028
-317.66;-0.000058
-313.87;-0.000087
-310.08;-0.000114
-306.29;-0.000137
-302.50;-0.000158
-298.71;-0.000176
-294.92;-0.000193
-291.14;-0.000207
-287.35;-0.000217
-283.56;-0.000224
-279.77;-0.000228
-275.98;-0.000230
-272.19;-0.000233
-268.40;-0.000243
-264.62;-0.000263
-260.83;-0.000295
-257.04;-0.000336
-253.25;-0.000381
-249.46;-0.000424
-245.67;-0.000460
-241.88;-0.000483
-238.09;-0.000490
-234.31;-0.000480
-230.52;-0.000452
-226.73;-0.000408
-222.94;-0.000351
-219.15;-0.000287
-215.36;-0.000227
-211.57;-0.000185
-207.79;-0.000178
-204.00;-0.000204
-200.21;-0.000244
-196.42;-0.000282
-192.63;-0.000310
-188.84;-0.000325
-185.05;-0.000327
-181.26;-0.000317
-177.48;-0.000297
-173.69;-0.000270
-169.90;-0.000240
-166.11;-0.000215
-162.32;-0.000200
-158.53;-0.000200
-154.74;-0.000216
-150.96;-0.000242
-147.17;-0.000271
-143.38;-0.000298
-139.59;-0.000318
-135.80;-0.000331
-132.01;-0.000334
-128.22;-0.000328
-124.44;-0.000313
-120.65;-0.000291
-116.86;-0.000262
-113.07;-0.000228
-109.28;-0.000193
-105.49;-0.000160
-101.70;-0.000133
-97.91;-0.000117
-94.13;-0.000114
-90.34;-0.000118
-86.55;-0.000121
-82.76;-0.000119
-78.97;-0.000107
-75.18;-0.000085
-71.39;-0.000053
-67.61;-0.000011
-63.82;0.000038
-60.03;0.000095
-56.24;0.000166
-52.45;0.000255
-48.66;0.000372
-44.87;0.000522
-41.09;0.000709
-37.30;0.000932
-33.51;0.001185
-29.72;0.001460
-25.93;0.001744
-22.14;0.002025
-18.35;0.002288
-14.56;0.002520
-10.78;0.002710
-6.99;0.002850
-3.20;0.002931
0.59;0.002952
4.38;0.002913
8.17;0.002818
11.96;0.002683
15.74;0.002544
19.53;0.002470
23.32;0.002573
27.11;0.002959
30.90;0.003664
34.69;0.004654
38.48;0.005873
42.27;0.007263
46.05;0.008767
49.84;0.010328
53.63;0.011886
57.42;0.013382
61.21;0.014757
65.00;0.015959
68.79;0.016942
72.57;0.017673
76.36;0.018128
80.15;0.018298
83.94;0.018184
87.73;0.017804
91.52;0.017181
95.31;0.016348
99.09;0.015345
102.88;0.014213
106.67;0.012993
110.46;0.011725
114.25;0.010449
118.04;0.009199
121.83;0.008010
125.62;0.006915
129.40;0.005950
133.19;0.005159
136.98;0.004590
140.77;0.004287
144.56;0.004266
148.35;0.004500
152.14;0.004927
155.92;0.005485
159.71;0.006123
163.50;0.006802
167.29;0.007493
171.08;0.008169
174.87;0.008808
178.66;0.009391
182.44;0.009900
186.23;0.010320
190.02;0.010638
193.81;0.010850
197.60;0.010952
201.39;0.010946
205.18;0.010840
208.97;0.010642
212.75;0.010365
216.54;0.010024
220.33;0.009634
224.12;0.009208
227.91;0.008759
231.70;0.008298
235.49;0.007834
239.27;0.007371
243.06;0.006916
246.85;0.006471
250.64;0.006039
254.43;0.005623
258.22;0.005224
262.01;0.004845
265.80;0.004488
269.58;0.004153
273.37;0.003840
277.16;0.003547
280.95;0.003271
284.74;0.003008
288.53;0.002753
292.32;0.002503
296.10;0.002255
299.89;0.002009
303.68;0.001767
307.47;0.001538
311.26;0.001336
315.05;0.001182
318.84;0.001105
322.62;0.001126
326.41;0.001238
330.20;0.001418
333.99;0.001638
337.78;0.001879
341.57;0.002129
345.36;0.002378
349.15;0.002624
352.93;0.002862
356.72;0.003092
360.51;0.003312
364.30;0.003521
368.09;0.003717
371.88;0.003898
375.67;0.004062
379.45;0.004208
383.24;0.004331
387.03;0.004430
390.82;0.004502
394.61;0.004544
398.40;0.004555
402.19;0.004534
405.97;0.004479
409.76;0.004392
413.55;0.004273
417.34;0.004124
421.13;0.003948
424.92;0.003748
428.71;0.003526
432.50;0.003287
436.28;0.003036
440.07;0.002777
443.86;0.002517
447.65;0.002263
451.44;0.002022
455.23;0.001803
459.02;0.001615
462.80;0.001465
466.59;0.001358
470.38;0.001291
474.17;0.001259
477.96;0.001252
481.75;0.001258
485.54;0.001271
489.33;0.001286
493.11;0.001301
496.90;0.001314
500.69;0.001323
504.48;0.001327
508.27;0.001321
512.06;0.001300
515.85;0.001259
519.63;0.001193
523.42;0.001099
527.21;0.000980
531.00;0.000842
534.79;0.000700
538.58;0.000585
542.37;0.000542
546.15;0.000601
549.94;0.000735
553.73;0.000899
557.52;0.001064
561.31;0.001214
565.10;0.001340
568.89;0.001442
572.68;0.001521
576.46;0.001584
580.25;0.001634
584.04;0.001678
587.83;0.001715
591.62;0.001744
595.41;0.001759
599.20;0.001751
602.98;0.001713
606.77;0.001640
610.56;0.001534
614.35;0.001404
618.14;0.001275
621.93;0.001192
625.72;0.001217
629.50;0.001386
633.29;0.001684
637.08;0.002073
640.87;0.002515
644.66;0.002982
648.45;0.003452
652.24;0.003908
656.03;0.004335
659.81;0.004720
663.60;0.005052
667.39;0.005323
671.18;0.005525
674.97;0.005655
678.76;0.005711
682.55;0.005696
686.33;0.005614
690.12;0.005471
693.91;0.005279
697.70;0.005047
701.49;0.004788
705.28;0.004512
709.07;0.004233
712.86;0.003963
716.64;0.003716
720.43;0.003515
724.22;0.003384
728.01;0.003353
731.80;0.003445
735.59;0.003669
739.38;0.004011
743.16;0.004443
746.95;0.004930
750.74;0.005433
754.53;0.005920
758.32;0.006358
762.11;0.006724
765.90;0.006998
769.68;0.007166
773.47;0.007221
777.26;0.007163
781.05;0.006997
784.84;0.006734
788.63;0.006389
792.42;0.005980
796.21;0.005527
799.99;0.005051
803.78;0.004572
807.57;0.004109
811.36;0.003678
815.15;0.003294
818.94;0.002965
822.73;0.002700
826.51;0.002499
830.30;0.002362
834.09;0.002282
837.88;0.002253
841.67;0.002263
845.46;0.002302
849.25;0.002361
853.03;0.002429
856.82;0.002500
860.61;0.002567
864.40;0.002625
868.19;0.002671
871.98;0.002703
875.77;0.002723
879.56;0.002735
883.34;0.002747
887.13;0.002767
890.92;0.002808
894.71;0.002877
898.50;0.002985
902.29;0.003132
906.08;0.003316
909.86;0.003530
913.65;0.003763
917.44;0.004003
921.23;0.004238
925.02;0.004456
928.81;0.004647
932.60;0.004802
936.39;0.004912
940.17;0.004970
943.96;0.004972
947.75;0.004912
951.54;0.004787
955.33;0.004593
959.12;0.004331
962.91;0.003999
966.69;0.003600
970.48;0.003138
974.27;0.002621
978.06;0.002059
981.85;0.001475
985.64;0.000924
989.43;0.000644
993.21;0.000973
997.00;0.001575
1000.79;0.002233
1004.58;0.002896
1008.37;0.003544
1012.16;0.004168
1015.95;0.004759
1019.74;0.005312
1023.52;0.005823
1027.31;0.006289
1031.10;0.006706
1034.89;0.007071
1038.68;0.007380
1042.47;0.007629
1046.26;0.007814
1050.04;0.007929
1053.83;0.007972
1057.62;0.007938
1061.41;0.007825
1065.20;0.007636
1068.99;0.007371
1072.78;0.007040
1076.56;0.006652
1080.35;0.006223
1084.14;0.005773
1087.93;0.005327
1091.72;0.004912
1095.51;0.004557
1099.30;0.004286
1103.09;0.004113
1106.87;0.004039
1110.66;0.004045
1114.45;0.004108
1118.24;0.004200
1122.03;0.004298
1125.82;0.004388
1129.61;0.004459
1133.39;0.004512
1137.18;0.004548
1140.97;0.004571
1144.76;0.004586
1148.55;0.004596
1152.34;0.004602
1156.13;0.004603
1159.92;0.004594
1163.70;0.004571
1167.49;0.004526
1171.28;0.004452
1175.07;0.004344
1178.86;0.004196
1182.65;0.004006
1186.44;0.003775
1190.22;0.003509
1194.01;0.003217
1197.80;0.002921
1201.59;0.002649
1205.38;0.002437
1209.17;0.002324
1212.96;0.002333
1216.74;0.002454
1220.53;0.002654
1224.32;0.002888
1228.11;0.003118
1231.90;0.003316
1235.69;0.003465
1239.48;0.003556
1243.27;0.003587
1247.05;0.003564
1250.84;0.003498
1254.63;0.003406
1258.42;0.003306
1262.21;0.003216
1266.00;0.003153
1269.79;0.003123
1273.57;0.003124
1277.36;0.003147
1281.15;0.003172
1284.94;0.003181
1288.73;0.003155
1292.52;0.003082
1296.31;0.002954
1300.09;0.002771
1303.88;0.002538
1307.67;0.002267
1311.46;0.001972
1315.25;0.001670
1319.04;0.001373
1322.83;0.001086
1326.62;0.000802
1330.40;0.000516
1334.19;0.000309
1337.98;0.000530
1341.77;0.001043
1345.56;0.001699
1349.35;0.002469
1353.14;0.003332
1356.92;0.004259
1360.71;0.005220
1364.50;0.006177
1368.29;0.007093
1372.08;0.007933
1375.87;0.008663
1379.66;0.009257
1383.45;0.009696
1387.23;0.009969
1391.02;0.010072
1394.81;0.010011
1398.60;0.009798
1402.39;0.009448
1406.18;0.008983
1409.97;0.008423
1413.75;0.007790
1417.54;0.007104
1421.33;0.006386
1425.12;0.005655
1428.91;0.004938
1432.70;0.004268
1436.49;0.003697
1440.27;0.003294
1444.06;0.003134
1447.85;0.003243
1451.64;0.003573
1455.43;0.004036
1459.22;0.004548
1463.01;0.005048
1466.80;0.005496
1470.58;0.005863
1474.37;0.006134
1478.16;0.006299
1481.95;0.006356
1485.74;0.006309
1489.53;0.006166
1493.32;0.005938
1497.10;0.005636
1500.89;0.005276
1504.68;0.004870
1508.47;0.004431
1512.26;0.003973
1516.05;0.003506
1519.84;0.003044
1523.62;0.002603
1527.41;0.002205
1531.20;0.001886
1534.99;0.001695
1538.78;0.001673
1542.57;0.001822
1546.36;0.002097
1550.15;0.002445
1553.93;0.002825
1557.72;0.003211
1561.51;0.003584
1565.30;0.003930
1569.09;0.004238
1572.88;0.004497
1576.67;0.004700
1580.45;0.004840
1584.24;0.004911
1588.03;0.004911
1591.82;0.004838
1595.61;0.004693
1599.40;0.004481
1603.19;0.004205
1606.98;0.003873
1610.76;0.003491
1614.55;0.003070
1618.34;0.002616
1622.13;0.002138
1625.92;0.001645
1629.71;0.001143
1633.50;0.000642
1637.28;0.000190
1641.07;0.000423
1644.86;0.000911
1648.65;0.001404
1652.44;0.001892
1656.23;0.002370
1660.02;0.002834
1663.80;0.003278
1667.59;0.003696
1671.38;0.004080
1675.17;0.004420
1678.96;0.004709
1682.75;0.004937
1686.54;0.005095
1690.33;0.005176
1694.11;0.005173
1697.90;0.005079
1701.69;0.004891
1705.48;0.004607
1709.27;0.004231
1713.06;0.003771
1716.85;0.003246
1720.63;0.002689
1724.42;0.002161
1728.21;0.001773
1732.00;0.001671
1735.79;0.001887
1739.58;0.002281
1743.37;0.002699
1747.15;0.003047
1750.94;0.003268
1754.73;0.003329
1758.52;0.003210
1762.31;0.002909
1766.10;0.002433
1769.89;0.001802
1773.68;0.001048
1777.46;0.000244
1781.25;0.000725
1785.04;0.001619
1788.83;0.002486
1792.62;0.003285
1796.41;0.003989
1800.20;0.004579
1803.98;0.005048
1807.77;0.005399
1811.56;0.005646
1815.35;0.005803
1819.14;0.005892
1822.93;0.005927
1826.72;0.005919
1830.51;0.005870
1834.29;0.005775
1838.08;0.005626
1841.87;0.005414
1845.66;0.005134
1849.45;0.004787
1853.24;0.004380
1857.03;0.003930
1860.81;0.003457
1864.60;0.002987
1868.39;0.002544
1872.18;0.002148
1875.97;0.001808
1879.76;0.001517
1883.55;0.001254
1887.33;0.000984
1891.12;0.000679
1894.91;0.000325
1898.70;0.000209
1902.49;0.000689
1906.28;0.001273
1910.07;0.001917
1913.86;0.002601
1917.64;0.003303
1921.43;0.003998
1925.22;0.004662
1929.01;0.005271
1932.80;0.005800
1936.59;0.006226
1940.38;0.006532
1944.16;0.006702
1947.95;0.006726
1951.74;0.006602
1955.53;0.006332
1959.32;0.005924
1963.11;0.005393
1966.90;0.004762
1970.68;0.004056
1974.47;0.003307
1978.26;0.002551
1982.05;0.001837
1985.84;0.001242
1989.63;0.000920
1993.42;0.000998
1997.21;0.001278
2000.99;0.001551
2004.78;0.001739
2008.57;0.001824
2012.36;0.001814
2016.15;0.001744
2019.94;0.001684
2023.73;0.001738
2027.51;0.001992
2031.30;0.002452
2035.09;0.003065
2038.88;0.003768
2042.67;0.004506
2046.46;0.005235
2050.25;0.005916
2054.04;0.006518
2057.82;0.007010
2061.61;0.007371
2065.40;0.007584
2069.19;0.007638
2072.98;0.007532
2076.77;0.007269
2080.56;0.006862
2084.34;0.006331
2088.13;0.005703
2091.92;0.005008
2095.71;0.004283
2099.50;0.003570
2103.29;0.002910
2107.08;0.002351
2110.86;0.001938
2114.65;0.001697
2118.44;0.001610
2122.23;0.001616
2126.02;0.001654
2129.81;0.001688
2133.60;0.001711
2137.39;0.001731
2141.17;0.001762
2144.96;0.001814
2148.75;0.001883
2152.54;0.001957
2156.33;0.002015
2160.12;0.002036
2163.91;0.002003
2167.69;0.001904
2171.48;0.001733
2175.27;0.001490
2179.06;0.001178
2182.85;0.000804
2186.64;0.000375
2190.43;0.000102
2194.21;0.000618
2198.00;0.001172
2201.79;0.001758
2205.58;0.002377
2209.37;0.003026
2213.16;0.003702
2216.95;0.004396
2220.74;0.005099
2224.52;0.005794
2228.31;0.006463
2232.10;0.007083
2235.89;0.007632
2239.68;0.008088
2243.47;0.008433
2247.26;0.008653
2251.04;0.008738
2254.83;0.008686
2258.62;0.008503
2262.41;0.008200
2266.20;0.007791
2269.99;0.007298
2273.78;0.006741
2277.57;0.006142
2281.35;0.005520
2285.14;0.004891
2288.93;0.004265
2292.72;0.003649
2296.51;0.003046
2300.30;0.002457
2304.09;0.001894
2307.87;0.001400
2311.66;0.001111
2315.45;0.001243
2319.24;0.001746
2323.03;0.002429
2326.82;0.003195
2330.61;0.004000
2334.39;0.004811
2338.18;0.005598
2341.97;0.006332
2345.76;0.006981
2349.55;0.007517
2353.34;0.007911
2357.13;0.008141
2360.92;0.008193
2364.70;0.008060
2368.49;0.007747
2372.28;0.007272
2376.07;0.006670
2379.86;0.005996
2383.65;0.005331
2387.44;0.004789
