Distance_mm;Amplitude
527.21;0.000702
531.00;0.000739
534.79;0.000789
538.58;0.000849
542.37;0.000916
546.15;0.000985
549.94;0.001055
553.73;0.001120
557.52;0.001179
561.31;0.001230
565.10;0.001272
568.89;0.001303
572.68;0.001323
576.46;0.001335
580.25;0.001338
584.04;0.001335
587.83;0.001327
591.62;0.001317
595.41;0.001306
599.20;0.001296
602.98;0.001288
606.77;0.001282
610.56;0.001279
614.35;0.001280
618.14;0.001283
621.93;0.001289
625.72;0.001297
629.50;0.001308
633.29;0.001324
637.08;0.001344
640.87;0.001372
644.66;0.001408
648.45;0.001455
652.24;0.001514
656.03;0.001583
659.81;0.001661
663.60;0.001745
667.39;0.001832
671.18;0.001914
674.97;0.001989
678.76;0.002049
682.55;0.002089
686.33;0.002105
690.12;0.002093
693.91;0.002049
697.70;0.001973
701.49;0.001863
705.28;0.001722
709.07;0.001556
712.86;0.001374
716.64;0.001192
720.43;0.001039
724.22;0.000956
728.01;0.000980
731.80;0.001114
735.59;0.001324
739.38;0.001573
743.16;0.001833
746.95;0.002084
750.74;0.002309
754.53;0.002499
758.32;0.002642
762.11;0.002730
765.90;0.002758
769.68;0.002720
773.47;0.002613
777.26;0.002437
781.05;0.002193
784.84;0.001886
788.63;0.001522
792.42;0.001110
796.21;0.000660
799.99;0.000195
803.78;0.000328
807.57;0.000814
811.36;0.001293
815.15;0.001746
818.94;0.002162
822.73;0.002531
826.51;0.002843
830.30;0.003093
834.09;0.003279
837.88;0.003399
841.67;0.003455
845.46;0.003452
849.25;0.003398
853.03;0.003302
856.82;0.003177
860.61;0.003035
864.40;0.002892
868.19;0.002762
871.98;0.002659
875.77;0.002591
879.56;0.002565
883.34;0.002576
887.13;0.002618
890.92;0.002679
894.71;0.002746
898.50;0.002808
902.29;0.002854
906.08;0.002876
909.86;0.002867
913.65;0.002824
917.44;0.002745
921.23;0.002628
925.02;0.002477
928.81;0.002293
932.60;0.002082
936.39;0.001850
940.17;0.001604
943.96;0.001352
947.75;0.001102
951.54;0.000861
955.33;0.000636
959.12;0.000433
962.91;0.000258
966.69;0.000138
970.48;0.000161
974.27;0.000281
978.06;0.000424
981.85;0.000582
985.64;0.000756
989.43;0.000949
993.21;0.001155
997.00;0.001371
1000.79;0.001591
1004.58;0.001808
1008.37;0.002015
1012.16;0.002204
1015.95;0.002372
1019.74;0.002512
1023.52;0.002622
1027.31;0.002699
1031.10;0.002742
1034.89;0.002751
1038.68;0.002729
1042.47;0.002678
1046.26;0.002600
1050.04;0.002502
1053.83;0.002388
1057.62;0.002264
1061.41;0.002136
1065.20;0.002011
1068.99;0.001895
1072.78;0.001793
1076.56;0.001713
1080.35;0.001660
1084.14;0.001637
1087.93;0.001647
1091.72;0.001690
1095.51;0.001768
1099.30;0.001878
1103.09;0.002018
1106.87;0.002185
1110.66;0.002377
1114.45;0.002587
1118.24;0.002811
1122.03;0.003039
1125.82;0.003262
1129.61;0.003471
1133.39;0.003654
1137.18;0.003802
1140.97;0.003906
1144.76;0.003958
1148.55;0.003954
1152.34;0.003893
1156.13;0.003778
1159.92;0.003614
1163.70;0.003413
1167.49;0.003189
1171.28;0.002960
1175.07;0.002748
1178.86;0.002570
1182.65;0.002445
1186.44;0.002376
1190.22;0.002360
1194.01;0.002379
1197.80;0.002413
1201.59;0.002441
1205.38;0.002444
1209.17;0.002412
1212.96;0.002334
1216.74;0.002208
1220.53;0.002033
1224.32;0.001812
1228.11;0.001552
1231.90;0.001265
1235.69;0.000971
1239.48;0.000723
1243.27;0.000629
1247.05;0.000774
1250.84;0.001065
1254.63;0.001405
1258.42;0.001747
1262.21;0.002071
1266.00;0.002360
1269.79;0.002603
1273.57;0.002792
1277.36;0.002921
1281.15;0.002985
1284.94;0.002984
1288.73;0.002917
1292.52;0.002789
1296.31;0.002608
1300.09;0.002384
1303.88;0.002131
1307.67;0.001869
1311.46;0.001619
1315.25;0.001407
1319.04;0.001262
1322.83;0.001198
1326.62;0.001209
1330.40;0.001267
1334.19;0.001342
1337.98;0.001412
1341.77;0.001469
1345.56;0.001514
1349.35;0.001559
1353.14;0.001620
1356.92;0.001716
1360.71;0.001860
1364.50;0.002055
1368.29;0.002296
1372.08;0.002567
1375.87;0.002854
1379.66;0.003139
1383.45;0.003408
1387.23;0.003647
1391.02;0.003843
1394.81;0.003987
1398.60;0.004071
1402.39;0.004087
1406.18;0.004033
1409.97;0.003905
1413.75;0.003703
1417.54;0.003430
1421.33;0.003089
1425.12;0.002690
1428.91;0.002244
1432.70;0.001777
1436.49;0.001338
1440.27;0.001042
1444.06;0.001071
1447.85;0.001417
1451.64;0.001903
1455.43;0.002421
1459.22;0.002920
1463.01;0.003371
1466.80;0.003752
1470.58;0.004049
1474.37;0.004249
1478.16;0.004343
1481.95;0.004328
1485.74;0.004202
1489.53;0.003970
1493.32;0.003641
1497.10;0.003229
1500.89;0.002756
1504.68;0.002258
1508.47;0.001795
1512.26;0.001480
1516.05;0.001458
1519.84;0.001745
1523.62;0.002206
1527.41;0.002721
1531.20;0.003227
1534.99;0.003689
1538.78;0.004085
1542.57;0.004405
1546.36;0.004640
1550.15;0.004789
1553.93;0.004852
1557.72;0.004835
1561.51;0.004743
1565.30;0.004586
1569.09;0.004374
1572.88;0.004118
1576.67;0.003828
1580.45;0.003517
1584.24;0.003197
1588.03;0.002878
1591.82;0.002575
1595.61;0.002303
1599.40;0.002077
1603.19;0.001916
1606.98;0.001833
1610.76;0.001832
1614.55;0.001904
1618.34;0.002030
1622.13;0.002190
1625.92;0.002363
1629.71;0.002534
1633.50;0.002688
1637.28;0.002815
1641.07;0.002905
1644.86;0.002949
1648.65;0.002941
1652.44;0.002876
1656.23;0.002755
1660.02;0.002578
1663.80;0.002351
1667.59;0.002083
1671.38;0.001787
1675.17;0.001478
1678.96;0.001171
1682.75;0.000883
1686.54;0.000627
1690.33;0.000413
1694.11;0.000241
1697.90;0.000116
1701.69;0.000130
1705.48;0.000283
1709.27;0.000492
1713.06;0.000744
1716.85;0.001032
1720.63;0.001341
1724.42;0.001656
1728.21;0.001962
1732.00;0.002243
1735.79;0.002487
1739.58;0.002686
1743.37;0.002833
1747.15;0.002928
1750.94;0.002973
1754.73;0.002972
1758.52;0.002934
1762.31;0.002866
1766.10;0.002778
1769.89;0.002679
1773.68;0.002576
1777.46;0.002479
1781.25;0.002392
1785.04;0.002322
1788.83;0.002273
1792.62;0.002251
1796.41;0.002257
1800.20;0.002292
1803.98;0.002356
1807.77;0.002443
1811.56;0.002547
1815.35;0.002660
1819.14;0.002773
1822.93;0.002874
1826.72;0.002953
1830.51;0.003000
1834.29;0.003008
1838.08;0.002971
1841.87;0.002887
1845.66;0.002760
1849.45;0.002596
1853.24;0.002408
1857.03;0.002212
1860.81;0.002029
1864.60;0.001881
1868.39;0.001788
1872.18;0.001760
1875.97;0.001794
1879.76;0.001875
1883.55;0.001988
1887.33;0.002118
1891.12;0.002256
1894.91;0.002398
1898.70;0.002541
1902.49;0.002684
1906.28;0.002825
1910.07;0.002962
1913.86;0.003090
1917.64;0.003202
1921.43;0.003292
1925.22;0.003353
1929.01;0.003378
1932.80;0.003360
1936.59;0.003296
1940.38;0.003181
1944.16;0.003014
1947.95;0.002796
1951.74;0.002532
1955.53;0.002232
1959.32;0.001915
1963.11;0.001611
1966.90;0.001378
1970.68;0.001292
1974.47;0.001400
1978.26;0.001666
1982.05;0.002014
1985.84;0.002385
1989.63;0.002741
1993.42;0.003057
1997.21;0.003314
2000.99;0.003498
2004.78;0.003601
2008.57;0.003615
2012.36;0.003538
2016.15;0.003370
2019.94;0.003117
2023.73;0.002786
2027.51;0.002385
2031.30;0.001928
2035.09;0.001431
2038.88;0.000913
2042.67;0.000434
2046.46;0.000406
2050.25;0.000870
2054.04;0.001380
2057.82;0.001874
2061.61;0.002333
2065.40;0.002747
2069.19;0.003107
2072.98;0.003407
