Distance_mm;Amplitude
-670.00;-0.663112
-666.21;-0.602115
-662.42;-0.542894
-658.63;-0.487957
-654.85;-0.439150
-651.06;-0.397391
-647.27;-0.362535
-643.48;-0.333471
-639.69;-0.308478
-635.90;-0.285707
-632.11;-0.263603
-628.32;-0.241146
-624.54;-0.217902
-620.75;-0.193936
-616.96;-0.169674
-613.17;-0.145747
-609.38;-0.122851
-605.59;-0.101631
-601.80;-0.082596
-598.02;-0.066069
-594.23;-0.052158
-590.44;-0.040760
-586.65;-0.031597
-582.86;-0.024293
-579.07;-0.018467
-575.28;-0.013833
-571.50;-0.010280
-567.71;-0.007892
-563.92;-0.006807
-560.13;-0.006805
-556.34;-0.007280
-552.55;-0.007720
-548.76;-0.007880
-544.97;-0.007685
-541.19;-0.007149
-537.40;-0.006330
-533.61;-0.005303
-529.82;-0.004146
-526.03;-0.002937
-522.24;-0.001767
-518.45;-0.000905
-514.67;-0.001203
-510.88;-0.002119
-507.09;-0.003055
-503.30;-0.003919
-499.51;-0.004691
-495.72;-0.005367
-491.93;-0.005944
-488.15;-0.006420
-484.36;-0.006787
-480.57;-0.007034
-476.78;-0.007147
-472.99;-0.007114
-469.20;-0.006926
-465.41;-0.006585
-461.62;-0.006102
-457.84;-0.005499
-454.05;-0.004809
-450.26;-0.004071
-446.47;-0.003326
-442.68;-0.002618
-438.89;-0.001981
-435.10;-0.001445
-431.32;-0.001028
-427.53;-0.000736
-423.74;-0.000556
-419.95;-0.000459
-416.16;-0.000410
-412.37;-0.000387
-408.58;-0.000383
-404.79;-0.000402
-401.01;-0.000446
-397.22;-0.000516
-393.43;-0.000604
-389.64;-0.000697
-385.85;-0.000777
-382.06;-0.000827
-378.27;-0.000834
-374.49;-0.000798
-370.70;-0.000741
-366.91;-0.000712
-363.12;-0.000771
-359.33;-0.000925
-355.54;-0.001128
-351.75;-0.001320
-347.97;-0.001456
-344.18;-0.001505
-340.39;-0.001452
-336.60;-0.001300
-332.81;-0.001067
-329.02;-0.000786
-325.23;-0.000507
-321.44;-0.000304
-317.66;-0.000266
-313.87;-0.000314
-310.08;-0.000354
-306.29;-0.000439
-302.50;-0.000651
-298.71;-0.000969
-294.92;-0.001321
-291.14;-0.001636
-287.35;-0.001866
-283.56;-0.002010
-279.77;-0.002153
-275.98;-0.002480
-272.19;-0.003152
-268.40;-0.004159
-264.62;-0.005354
-260.83;-0.006535
-257.04;-0.007476
-253.25;-0.007941
-249.46;-0.007696
-245.67;-0.006527
-241.88;-0.004260
-238.09;-0.000839
-234.31;-0.004034
-230.52;-0.010026
-226.73;-0.017142
-222.94;-0.025173
-219.15;-0.033838
-215.36;-0.042798
-211.57;-0.051678
-207.79;-0.060086
-204.00;-0.067647
-200.21;-0.074019
-196.42;-0.078924
-192.63;-0.082160
-188.84;-0.083616
-185.05;-0.083273
-181.26;-0.081207
-177.48;-0.077571
-173.69;-0.072589
-169.90;-0.066532
-166.11;-0.059700
-162.32;-0.052401
-158.53;-0.044931
-154.74;-0.037564
-150.96;-0.030538
-147.17;-0.024051
-143.38;-0.018260
-139.59;-0.013283
-135.80;-0.009203
-132.01;-0.006071
-128.22;-0.003899
-124.44;-0.002613
-120.65;-0.001966
-116.86;-0.001710
-113.07;-0.001967
-109.28;-0.002866
-105.49;-0.004176
-101.70;-0.005626
-97.91;-0.006994
-94.13;-0.008096
-90.34;-0.008774
-86.55;-0.008911
-82.76;-0.008436
-78.97;-0.007325
-75.18;-0.005607
-71.39;-0.003360
-67.61;-0.000704
-63.82;0.002208
-60.03;0.005203
-56.24;0.008102
-52.45;0.010733
-48.66;0.012943
-44.87;0.014609
-41.09;0.015648
-37.30;0.016020
-33.51;0.015728
-29.72;0.014823
-25.93;0.013395
-22.14;0.011575
-18.35;0.009541
-14.56;0.007552
-10.78;0.006040
-6.99;0.005642
-3.20;0.006656
0.59;0.008666
4.38;0.011257
8.17;0.014281
11.96;0.017716
15.74;0.021566
19.53;0.025797
23.32;0.030322
27.11;0.034997
30.90;0.039631
34.69;0.044003
38.48;0.047878
42.27;0.051031
46.05;0.053265
49.84;0.054423
53.63;0.054406
57.42;0.053178
61.21;0.050775
65.00;0.047296
68.79;0.042904
72.57;0.037810
76.36;0.032261
80.15;0.026526
83.94;0.020882
87.73;0.015607
91.52;0.011003
95.31;0.007470
99.09;0.005622
102.88;0.005694
106.67;0.006712
110.46;0.007772
114.25;0.008578
118.04;0.009102
121.83;0.009397
125.62;0.009526
129.40;0.009526
133.19;0.009402
136.98;0.009136
140.77;0.008705
144.56;0.008088
148.35;0.007284
152.14;0.006311
155.92;0.005206
159.71;0.004020
163.50;0.002813
167.29;0.001653
171.08;0.000664
174.87;0.000645
178.66;0.001341
182.44;0.001923
186.23;0.002322
190.02;0.002531
193.81;0.002564
197.60;0.002444
201.39;0.002201
205.18;0.001870
208.97;0.001490
212.75;0.001106
216.54;0.000774
220.33;0.000594
224.12;0.000643
227.91;0.000824
231.70;0.001025
235.49;0.001201
239.27;0.001342
243.06;0.001448
246.85;0.001526
250.64;0.001587
254.43;0.001651
258.22;0.001746
262.01;0.001898
265.80;0.002125
269.58;0.002428
273.37;0.002788
277.16;0.003178
280.95;0.003568
284.74;0.003932
288.53;0.004246
292.32;0.004495
296.10;0.004672
299.89;0.004777
303.68;0.004818
307.47;0.004804
311.26;0.004746
315.05;0.004650
318.84;0.004520
322.62;0.004354
326.41;0.004146
330.20;0.003892
333.99;0.003591
337.78;0.003251
341.57;0.002890
345.36;0.002536
349.15;0.002228
352.93;0.002007
356.72;0.001899
360.51;0.001899
364.30;0.001977
368.09;0.002108
371.88;0.002296
375.67;0.002574
379.45;0.002985
383.24;0.003557
387.03;0.004293
390.82;0.005166
394.61;0.006138
398.40;0.007163
402.19;0.008195
405.97;0.009189
409.76;0.010105
413.55;0.010909
417.34;0.011575
421.13;0.012080
424.92;0.012411
428.71;0.012559
432.50;0.012518
436.28;0.012289
440.07;0.011874
443.86;0.011280
447.65;0.010518
451.44;0.009605
455.23;0.008563
459.02;0.007427
462.80;0.006249
466.59;0.005108
470.38;0.004137
474.17;0.003549
477.96;0.003542
481.75;0.004068
485.54;0.004877
489.33;0.005755
493.11;0.006577
496.90;0.007269
500.69;0.007788
504.48;0.008110
508.27;0.008223
512.06;0.008124
515.85;0.007825
519.63;0.007340
523.42;0.006696
527.21;0.005923
531.00;0.005055
534.79;0.004128
538.58;0.003178
542.37;0.002237
546.15;0.001337
549.94;0.000535
553.73;0.000465
557.52;0.001114
561.31;0.001741
565.10;0.002294
568.89;0.002765
572.68;0.003144
576.46;0.003416
580.25;0.003566
584.04;0.003576
587.83;0.003435
591.62;0.003142
595.41;0.002723
599.20;0.002268
602.98;0.002005
606.77;0.002266
610.56;0.003089
614.35;0.004248
618.14;0.005567
621.93;0.006941
625.72;0.008291
629.50;0.009554
633.29;0.010677
637.08;0.011615
640.87;0.012336
644.66;0.012817
648.45;0.013048
652.24;0.013033
656.03;0.012784
659.81;0.012326
663.60;0.011689
667.39;0.010909
671.18;0.010028
674.97;0.009084
678.76;0.008113
682.55;0.007150
686.33;0.006221
690.12;0.005353
693.91;0.004574
697.70;0.003922
701.49;0.003459
705.28;0.003260
709.07;0.003371
712.86;0.003764
716.64;0.004350
720.43;0.005037
724.22;0.005751
728.01;0.006434
731.80;0.007037
735.59;0.007523
739.38;0.007863
743.16;0.008038
746.95;0.008038
750.74;0.007863
754.53;0.007526
758.32;0.007049
762.11;0.006462
765.90;0.005808
769.68;0.005134
773.47;0.004493
777.26;0.003942
781.05;0.003533
784.84;0.003296
788.63;0.003225
792.42;0.003280
796.21;0.003410
799.99;0.003573
803.78;0.003742
807.57;0.003904
811.36;0.004053
815.15;0.004185
818.94;0.004296
822.73;0.004380
826.51;0.004432
830.30;0.004446
834.09;0.004421
837.88;0.004360
841.67;0.004268
845.46;0.004154
849.25;0.004029
853.03;0.003897
856.82;0.003762
860.61;0.003618
864.40;0.003452
868.19;0.003252
871.98;0.003000
875.77;0.002687
879.56;0.002312
883.34;0.001894
887.13;0.001493
890.92;0.001258
894.71;0.001393
898.50;0.001870
902.29;0.002512
906.08;0.003204
909.86;0.003882
913.65;0.004504
917.44;0.005041
921.23;0.005470
925.02;0.005775
928.81;0.005949
932.60;0.005989
936.39;0.005902
940.17;0.005699
943.96;0.005397
947.75;0.005015
951.54;0.004579
955.33;0.004113
959.12;0.003644
962.91;0.003201
966.69;0.002811
970.48;0.002503
974.27;0.002301
978.06;0.002216
981.85;0.002240
985.64;0.002345
989.43;0.002500
993.21;0.002674
997.00;0.002843
1000.79;0.002990
1004.58;0.003099
1008.37;0.003162
1012.16;0.003171
1015.95;0.003122
1019.74;0.003014
1023.52;0.002849
1027.31;0.002629
1031.10;0.002360
1034.89;0.002048
1038.68;0.001699
1042.47;0.001323
1046.26;0.000930
1050.04;0.000551
1053.83;0.000333
1057.62;0.000551
1061.41;0.000925
1065.20;0.001303
1068.99;0.001647
1072.78;0.001935
1076.56;0.002151
1080.35;0.002280
1084.14;0.002311
1087.93;0.002239
1091.72;0.002068
1095.51;0.001809
1099.30;0.001494
1103.09;0.001193
1106.87;0.001049
1110.66;0.001212
1114.45;0.001621
1118.24;0.002135
1122.03;0.002669
1125.82;0.003173
1129.61;0.003618
1133.39;0.003982
1137.18;0.004252
1140.97;0.004418
1144.76;0.004477
1148.55;0.004431
1152.34;0.004285
1156.13;0.004048
1159.92;0.003734
1163.70;0.003357
1167.49;0.002938
1171.28;0.002499
1175.07;0.002072
1178.86;0.001696
1182.65;0.001419
1186.44;0.001286
1190.22;0.001294
1194.01;0.001383
1197.80;0.001483
1201.59;0.001543
1205.38;0.001537
1209.17;0.001459
1212.96;0.001322
1216.74;0.001169
1220.53;0.001082
1224.32;0.001165
1228.11;0.001442
1231.90;0.001847
1235.69;0.002307
1239.48;0.002771
1243.27;0.003203
1247.05;0.003578
1250.84;0.003879
1254.63;0.004098
1258.42;0.004232
1262.21;0.004288
1266.00;0.004277
1269.79;0.004217
1273.57;0.004127
1277.36;0.004030
1281.15;0.003944
1284.94;0.003887
1288.73;0.003870
1292.52;0.003899
1296.31;0.003974
1300.09;0.004088
1303.88;0.004233
1307.67;0.004394
1311.46;0.004557
1315.25;0.004705
1319.04;0.004823
1322.83;0.004902
1326.62;0.004937
1330.40;0.004934
1334.19;0.004909
1337.98;0.004891
1341.77;0.004913
1345.56;0.005010
1349.35;0.005202
1353.14;0.005492
1356.92;0.005856
1360.71;0.006257
1364.50;0.006649
1368.29;0.006988
1372.08;0.007233
1375.87;0.007354
1379.66;0.007326
1383.45;0.007138
1387.23;0.006785
1391.02;0.006271
1394.81;0.005608
1398.60;0.004818
1402.39;0.003923
1406.18;0.002958
1409.97;0.001968
1413.75;0.001079
1417.54;0.000890
1421.33;0.001654
1425.12;0.002610
1428.91;0.003568
1432.70;0.004489
1436.49;0.005361
1440.27;0.006178
1444.06;0.006935
1447.85;0.007630
1451.64;0.008257
1455.43;0.008808
1459.22;0.009272
1463.01;0.009635
1466.80;0.009884
1470.58;0.010006
1474.37;0.009991
1478.16;0.009832
1481.95;0.009528
1485.74;0.009087
1489.53;0.008519
1493.32;0.007843
1497.10;0.007082
1500.89;0.006263
1504.68;0.005417
1508.47;0.004575
1512.26;0.003770
1516.05;0.003033
1519.84;0.002397
1523.62;0.001891
1527.41;0.001541
1531.20;0.001351
1534.99;0.001279
1538.78;0.001260
1542.57;0.001235
1546.36;0.001168
1550.15;0.001040
1553.93;0.000844
1557.72;0.000587
1561.51;0.000339
1565.30;0.000451
1569.09;0.000902
1572.88;0.001464
1576.67;0.002087
1580.45;0.002747
1584.24;0.003418
1588.03;0.004077
1591.82;0.004700
1595.61;0.005263
1599.40;0.005743
1603.19;0.006121
1606.98;0.006382
1610.76;0.006514
1614.55;0.006509
1618.34;0.006364
1622.13;0.006081
1625.92;0.005662
1629.71;0.005116
1633.50;0.004453
1637.28;0.003684
1641.07;0.002825
1644.86;0.001894
1648.65;0.000933
1652.44;0.000437
1656.23;0.001335
1660.02;0.002391
1663.80;0.003448
1667.59;0.004473
1671.38;0.005442
1675.17;0.006332
1678.96;0.007119
1682.75;0.007783
1686.54;0.008306
1690.33;0.008672
1694.11;0.008868
1697.90;0.008887
1701.69;0.008727
1705.48;0.008394
1709.27;0.007900
1713.06;0.007264
1716.85;0.006516
1720.63;0.005693
1724.42;0.004846
1728.21;0.004037
1732.00;0.003344
1735.79;0.002854
1739.58;0.002621
1743.37;0.002611
1747.15;0.002708
1750.94;0.002794
1754.73;0.002788
1758.52;0.002648
1762.31;0.002363
1766.10;0.001940
1769.89;0.001403
1773.68;0.000792
1777.46;0.000237
1781.25;0.000612
1785.04;0.001214
1788.83;0.001745
1792.62;0.002161
1796.41;0.002434
1800.20;0.002549
1803.98;0.002508
1807.77;0.002330
1811.56;0.002069
1815.35;0.001829
1819.14;0.001786
1822.93;0.002078
1826.72;0.002659
1830.51;0.003402
1834.29;0.004205
1838.08;0.005003
1841.87;0.005751
1845.66;0.006417
1849.45;0.006978
1853.24;0.007418
1857.03;0.007733
1860.81;0.007919
1864.60;0.007984
1868.39;0.007935
1872.18;0.007787
1875.97;0.007553
1879.76;0.007249
1883.55;0.006889
1887.33;0.006488
1891.12;0.006058
1894.91;0.005609
1898.70;0.005153
1902.49;0.004701
1906.28;0.004263
1910.07;0.003852
1913.86;0.003481
1917.64;0.003163
1921.43;0.002906
1925.22;0.002718
1929.01;0.002599
1932.80;0.002543
1936.59;0.002540
1940.38;0.002576
1944.16;0.002635
1947.95;0.002705
1951.74;0.002774
1955.53;0.002830
1959.32;0.002868
1963.11;0.002882
1966.90;0.002869
1970.68;0.002825
1974.47;0.002750
1978.26;0.002638
1982.05;0.002487
1985.84;0.002292
