config,freq_hz,phase_std_deg,mag_std_db,coherence
B,2625000000,0.1571,0.0078,0.999996
B,2674000000,0.1845,0.0115,0.999995
B,2723000000,0.1284,0.0160,0.999997
B,2772000000,0.1320,0.0199,0.999997
B,2821000000,0.2351,0.0065,0.999992
B,2870000000,0.2187,0.0104,0.999993
B,2919000000,0.2963,0.0148,0.999987
B,2968000000,0.2918,0.0224,0.999987
B,3017000000,0.1955,0.0106,0.999994
B,3066000000,0.1185,0.0053,0.999998
B,3115000000,0.2190,0.0093,0.999993
B,3164000000,0.4572,0.0590,0.999968
B,3213000000,0.2034,0.0109,0.999994
B,3262000000,0.1958,0.0052,0.999994
B,3311000000,0.2293,0.0111,0.999992
B,3360000000,0.2609,0.0304,0.999990
B,3409000000,0.2298,0.0143,0.999992
B,3458000000,0.1974,0.0066,0.999994
B,3507000000,0.2431,0.0126,0.999991
B,3556000000,0.3311,0.0130,0.999983
B,3605000000,0.3978,0.0329,0.999976
B,3654000000,0.2181,0.0153,0.999993
B,3703000000,0.3128,0.0106,0.999985
B,3752000000,0.2120,0.0045,0.999993
B,3801000000,0.2202,0.0085,0.999993
B,3850000000,0.2635,0.0176,0.999989
B,3899000000,0.1994,0.0064,0.999994
B,3948000000,0.2748,0.0075,0.999988
B,3997000000,0.2120,0.0098,0.999993
B,4046000000,0.3508,0.0155,0.999981
B,4095000000,0.2536,0.0075,0.999990
B,4144000000,0.2912,0.0099,0.999987
B,4193000000,0.2659,0.0061,0.999989
B,4242000000,0.2624,0.0241,0.999990
B,4291000000,0.2346,0.0103,0.999992
B,4340000000,0.3010,0.0111,0.999986
B,4389000000,0.2659,0.0081,0.999989
